143,109
180,109
220,109
261,109
323,123
368,122
436,144
492,201
507,226
511,271
510,319
514,380
496,428
492,469
490,530
474,583
451,548
428,507
472,464
470,428
470,379
474,318
475,269
461,239
395,187
370,162
318,159
257,160
215,159
174,157
141,156
136,196
176,194
217,194
258,195
320,195
354,199
373,215
416,267
435,283
432,321
433,381
430,427
431,465
390,485
398,510
435,561
462,611
438,625
410,575
373,526
362,465
392,464
394,428
392,409
394,378
396,318
395,297
345,243
334,232
318,237
255,235
215,236
175,235
125,236
129,265
175,263
217,264
256,265
322,265
368,314
365,380
363,409
365,430
313,471
305,491
336,546
367,602
401,653
370,681
334,623
302,570
271,492
315,423
313,380
284,352
255,317
211,315
214,336
214,357
241,392
283,440
247,460
208,419
176,387
172,359
171,337
174,314
132,288
112,290
131,313
130,359
147,408
179,445
216,487
234,513
201,535
182,508
148,472
117,438
92,357
69,413
114,503
148,535
163,559
123,576
115,557
98,544
90,526
58,538
58,569
59,614
